Name;	Street;	Zip;	City;	Longitude;	Latitude;	Phone;	Web;	PhotoLink;	Monday;	Tuesday;	Wednesday;	Thursday;	Friday;	Saturday;	Sunday
PSZOK Punkt selektywnej zbiórki odpadów komunalnych;	Lotnicza 33a;	63-410;	Ostrów Wielkopolski;	51.660798;	17.796199;	627372017;	None;	https://lh5.googleusercontent.com/p/AF1QipPfXvbusHm7YBt_1tsnZ3jF6gfXWKZCPz0Nc7XC=s0;	Zamkniête;	07:30–16:30;	07:30–16:30;	07:30–16:30;	07:30–16:30;	09:00–13:00;	Zamkniête
Punkt Selektywnej Zbiórki Odpadów Komunalnych dla mieszkañców Gminy Œroda Wielkopolska;	Nad Strug¹ 7;	63-000;	Œroda Wielkopolska;	52.214954;	17.28614349999999;	None;	http://www.uk-sroda.pl/;	https://lh5.googleusercontent.com/p/AF1QipMJk-HEXibagP3LIFGVDdH-mHiqbq71Y2bYyOVY=s0;	06:00–20:00;	06:00–20:00;	06:00–20:00;	06:00–20:00;	06:00–20:00;	06:00–13:00;	Zamkniête
PSZOK Kalisz;	Piwonicka 6;	62-800;	Kalisz;	51.7395413;	18.07192509999999;	625049766;	https://www.kalisz.pl;	https://lh5.googleusercontent.com/p/AF1QipNhQmOywMCtaL-Vs_mVWpUoc4XZi5Bz05tBXnA2=s0;	Zamkniête;	10:00–17:00;	Zamkniête;	Zamkniête;	Zamkniête;	08:00–15:00;	Zamkniête
PSZOK Punkt Selektywnego Zbierania Odpadów Komunalnych w Zagorzynie;	Zagorzyn 57A;	62-812;	Jastrzêbniki;	51.810131;	18.022746;	690348646;	None;	https://lh5.googleusercontent.com/p/AF1QipPr3hMK00OP62R_Ki41dwXMk49cxLNVV47Ou7Hp=s0;	Zamkniête;	Zamkniête;	14:00–17:00;	Zamkniête;	Zamkniête;	08:00–16:00;	Zamkniête
Gratowisko - punkt selektywnego zbierania odpadów;	Wrzesiñska 12;	61-021;	Poznañ;	52.418953599999995;	16.978634;	616110811;	https://www.zzo.pl/pl/o-nas/informacje-ogolne/10-pl/zakres-dzialalnosci/6-punkt-selektywnego-zbierania-odpadow-komunalnych-gratowisko;	https://lh5.googleusercontent.com/p/AF1QipP-AgEhAn6NNiO6LHld27Ecv-6JenBF_9-TCAzO=s0;	10:00–18:00;	08:00–16:00;	10:00–18:00;	08:00–16:00;	10:00–18:00;	08:00–14:00;	Zamkniête
MZO S.A. Zak³ad Oczyszczania i Gospodarki Odpadami;	Staroprzygodzka 138;	63-400;	Ostrów Wielkopolski;	51.6184806;	17.797828;	627353563;	http://mzo.com.pl/;	https://lh5.googleusercontent.com/p/AF1QipPfXvbusHm7YBt_1tsnZ3jF6gfXWKZCPz0Nc7XC=s0;	Brak informacji;	Brak informacji;	Brak informacji;	Brak informacji;	Brak informacji;	Brak informacji;	Brak informacji
Wielkopolskie Centrum Recyklingu - Spó³ka z o.o. w Jarocinie;	Mariusza Ma³ynicza 1;	63-200;	Unknown;	51.9718897;	17.53675969999999;	627472456;	https://wcr-jarocin.pl;	https://lh5.googleusercontent.com/p/AF1QipN4zRL_EiIYKWcZZeefo-ckqGKrNl1_Pvgs8JDc=s0;	06:00–21:00;	06:00–21:00;	06:00–21:00;	06:00–21:00;	06:00–21:00;	08:00–14:00;	Zamkniête
Punkt Selektywnego Zbierania Odpadów Komunalnych w Czo³owie;	Unknown;	62-035;	Czo³owo;	52.219525499999996;	17.056598;	500173983;	https://www2.kornik.pl/odpady/Kontakt_3/;	https://lh5.googleusercontent.com/p/AF1QipMJk-HEXibagP3LIFGVDdH-mHiqbq71Y2bYyOVY=s0;	07:00–16:30;	Zamkniête;	09:00–16:30;	09:00–16:30;	09:00–16:30;	08:00–14:00;	Zamkniête
Punkt Selektywnej Zbiórki Odpadów Komunalnych – PSZOK w Plewiskach,;	Kolejowa;	62-064;	Plewiska;	52.3701544;	16.804526;	None;	https://www.komorniki.pl;	https://lh5.googleusercontent.com/p/AF1QipPyy6Lj-MlTSD95zdB5LRRmsVEWhoT9UgYE0ool=s0;	15:00–18:00;	15:00–18:00;	09:00–12:00;	15:00–18:00;	15:00–18:00;	10:00–14:00;	Zamkniête
PSZOK Pi³a Punkt Selektywnej Zbiórki Odpadów Komunalnych;	Fritsa Philipsa;	64-920;	Pi³a;	53.1653653;	16.757494;	668860389;	None;	https://lh5.googleusercontent.com/p/AF1QipM5Gdebg5nMzFq3snP3yIAf1MQGQr9AzrJ4iKTi=s0;	10:00–18:00;	10:00–18:00;	10:00–18:00;	10:00–18:00;	10:00–18:00;	10:00–14:00;	Zamkniête
Punkt Selektywnej Zbiórki Odpadów Komunalnych;	Mateuszewo 8;	63-100;	Mateuszewo;	52.134005099999996;	17.105077;	None;	https://wcr-jarocin.pl/index.php/pszok-srem/;	https://lh5.googleusercontent.com/p/AF1QipNi8An3t1xQr_F0AM3ANYdg-G73ycVjXYAPBvOh=s0;	Zamkniête;	09:00–17:00;	09:00–17:00;	09:00–17:00;	09:00–17:00;	09:00–13:00;	Zamkniête
PSZOK - Punkt selektywnego zbierania odpadów komunalnych w KoŸminie Wielkopolskim;	Prosta;	63-720;	KoŸmin Wielkopolski;	51.8297952;	17.439187;	501512402;	None;	https://lh5.googleusercontent.com/p/AF1QipPfjP2PUw_U9Cdu4_c1GIDha9bJWOBP0QSNr6Ui=s0;	Zamkniête;	12:00–18:00;	10:00–16:00;	12:00–18:00;	10:00–16:00;	08:00–14:00;	Zamkniête
Sk³adowisko Odpadów Komunalnych Miasta Poznania;	Meteorytowa 1;	62-002;	Suchy Las;	52.4963202;	16.884705;	618119667;	https://www.zzo.pl/pl/;	https://lh5.googleusercontent.com/p/AF1QipNSRhDouu6ceKC0jBC5bS8CzK7E1Kt9RSyUlMnh=s0;	10:00–18:00;	08:00–16:00;	10:00–18:00;	08:00–16:00;	10:00–18:00;	08:00–14:00;	Zamkniête
PSZOK Punkt Selektywnej Zbiórki Odpadów Komunalnych Jastrowie;	Unknown;	64-915;	Jastrowie;	53.4105415;	16.82516279999999;	668860393;	None;	https://lh5.googleusercontent.com/p/AF1QipMLIsNjPKryn6K4mjeg3x6z_HCLbdi6roOsOXxU=s0;	09:00–17:00;	Zamkniête;	09:00–17:00;	Zamkniête;	Zamkniête;	09:00–17:00;	Zamkniête
Punkt Selektywnej Zbiórki Odpadów Komunalnych;	Koœciañska 32;	62-065;	Grodzisk Wielkopolski;	52.2198996;	16.38275669999999;	None;	None;	https://lh5.googleusercontent.com/p/AF1QipPJZ6qbcM9ROXesrQ1mLFaPnAGkqs9hvtMMWaT7=s0;	Zamkniête;	15:00–19:00;	15:00–19:00;	15:00–19:00;	15:00–19:00;	10:00–16:00;	Zamkniête
PSZOK;	Unnamed Road;	64-500;	Unknown;	52.642323;	16.59208;	612921808;	https://szamotuly.pl;	Non=s0;	Zamkniête;	09:00–17:00;	09:00–17:00;	09:00–17:00;	09:00–17:00;	10:00–14:00;	Zamkniête
PSZOK Punkt Selektywnej Zbiórki Odpadów Komunalnych w Janowcu Wielkopolskim;	Unknown;	88-430;	Janowiec Wielkopolski;	52.7567832;	17.479663;	None;	None;	https://lh5.googleusercontent.com/p/AF1QipO0iKkdQISq1umkqFWwNtJfKnWpDpe_OAnHy0Vl=s0;	Brak informacji;	Brak informacji;	Brak informacji;	Brak informacji;	Brak informacji;	Brak informacji;	Brak informacji
PSZOK Krzy¿ Wielkopolski;	Unknown;	64-760;	Krzy¿ Wielkopolski;	52.873827399999996;	16.00725899999999;	538507820;	https://prgok.pl;	https://lh5.googleusercontent.com/p/AF1QipOMbEUrwTW2Twwp2xiMOYlJNoPjs2upCQf38AMK=s0;	09:00–17:00;	Zamkniête;	09:00–17:00;	Zamkniête;	Zamkniête;	09:00–17:00;	Zamkniête
Sk³adowisko Odpadów;	Unnamed Road;	62-010;	Unknown;	52.4614322;	17.305561;	618177031;	https://zk-pobiedziska.pl/wydzialy/skladowisko-odpadow/;	https://lh5.googleusercontent.com/p/AF1QipNbEdpin5PKPm6DoRh9g5_NRQCdnNrjWVBx0NaQ=s0;	10:00–18:00;	Zamkniête;	Zamkniête;	09:00–15:00;	10:00–18:00;	08:00–14:00;	Zamkniête
Gratowisko- Punkt Selektywnego Zbierania Odpadów Komunalnych;	28 Czerwca 1956 r. 284;	61-472;	Poznañ;	52.374943699999996;	16.90394599999999;	618332212;	http://www.odpady.poznan.pl/index.php?rsl=1&&pid=11111244;	https://lh5.googleusercontent.com/p/AF1QipOVqczCNQfmCKA_uCn42SS5phQHBgZmZIlGRh1w=s0;	10:00–18:00;	08:00–16:00;	10:00–18:00;	08:00–16:00;	10:00–18:00;	08:00–14:00;	Zamkniête
